id,name,members,value,highalch,lowalch,limit,examine
10344,3rd age amulet,True,50500,30300,20200,8,Fabulously ancient mage protection enchanted in the 3rd Age.
20011,3rd age axe,True,55000,33000,22000,40,"A beautifully crafted axe, shaped by ancient smiths."
12424,3rd age bow,True,150000,90000,60000,8,A beautifully crafted bow carved by ancient archers.
12437,3rd age cloak,True,85000,51000,34000,8,A beautiful cloak woven by ancient tailors.
23345,3rd age druidic cloak,True,200000,120000,80000,8,A fabulously ancient vine cloak as worn by the druids of old.
23339,3rd age druidic robe bottoms,True,200000,120000,80000,4,A fabulously ancient woven robe as worn by the druids of old.
23336,3rd age druidic robe top,True,200000,120000,80000,4,A fabulously ancient woven robe top as worn by the druids of old.
23342,3rd age druidic staff,True,200000,120000,80000,8,A fabulously ancient gnarled staff as used by the druids of old.
28226,3rd age felling axe,True,55000,33000,22000,,"A beautifully crafted axe, shaped by ancient smiths."
10350,3rd age full helmet,True,90000,54000,36000,8,Fabulously ancient armour beaten from magical silver.
10352,3rd age kiteshield,True,180000,108000,72000,8,Fabulously ancient armour beaten from magical silver.
12426,3rd age longsword,True,150000,90000,60000,8,A beautifully crafted sword forged by ancient blacksmiths.
10342,3rd age mage hat,True,50400,30240,20160,8,Fabulously ancient mage protection enchanted in the 3rd Age.
20014,3rd age pickaxe,True,97950,58770,39180,40,"A beautifully crafted pickaxe, shaped by ancient smiths."
10348,3rd age platebody,True,200000,120000,80000,8,Fabulously ancient armour beaten from magical silver.
10346,3rd age platelegs,True,200000,120000,80000,8,Fabulously ancient armour beaten from magical silver.
23242,3rd age plateskirt,True,200000,120000,80000,8,Fabulously ancient armour beaten from magical silver.
10334,3rd age range coif,True,50400,30240,20160,8,Fabulously ancient range protection crafted from white dragonhide.
10332,3rd age range legs,True,50600,30360,20240,8,Fabulously ancient range protection crafted from white dragonhide.
10330,3rd age range top,True,50800,30480,20320,8,Fabulously ancient range protection crafted from white dragonhide.
10340,3rd age robe,True,50600,30360,20240,8,Fabulously ancient mage protection enchanted in the 3rd Age.
10338,3rd age robe top,True,50800,30480,20320,8,Fabulously ancient mage protection enchanted in the 3rd Age.
10336,3rd age vambraces,True,50500,30300,20200,8,Fabulously ancient range protection crafted from white dragonhide.
12422,3rd age wand,True,150000,90000,60000,8,A beautifully crafted wand infused by ancient wizards.
10392,A powdered wig,True,2000,1200,800,4,A big do about nothing.
25775,Abyssal ashes,True,1,1,1,7500,A heap of ashes.
13263,Abyssal bludgeon,True,260000,156000,104000,8,Elements of deceased Abyssal Sires have been fused together.
11095,Abyssal bracelet(5),True,4200,2520,1680,10000,Makes using the Abyss just slightly safer.
13265,Abyssal dagger,True,115001,69000,46000,8,Something sharp from the body of a defeated Abyssal Sire.
13267,Abyssal dagger (p),True,115002,69001,46000,8,Something sharp and poisonous from the body of a defeated Abyssal Sire.
13269,Abyssal dagger (p+),True,115003,69001,46001,8,Something sharp and very poisonous from the body of a defeated Abyssal Sire.
13271,Abyssal dagger (p++),True,115004,69002,46001,8,Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.
4151,Abyssal whip,True,120001,72000,48000,70,A weapon from the Abyss.
30682,Accumulation charm,True,10000,6000,4000,,"A magical, helpful charm."
27676,Accursed sceptre (au),True,120000,72000,48000,8,A mighty sceptre used in long forgotten battles.
27662,Accursed sceptre (u),True,175000,105000,70000,8,"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion."
2862,Achey tree logs,True,4,2,1,13000,These logs are longer than normal.
5312,Acorn,True,6,3,2,200,Plant this in a plantpot of soil to grow a sapling.
1317,Adamant 2h sword,False,6400,3840,2560,125,A two handed sword.
890,Adamant arrow,False,80,48,32,11000,Arrows with adamant heads.
891,Adamant arrow(p),True,80,48,32,11000,Venomous-looking arrows.
5620,Adamant arrow(p+),True,80,48,32,11000,Venomous-looking arrows.
5626,Adamant arrow(p++),True,80,48,32,11000,Venomous-looking arrows.
43,Adamant arrowtips,True,40,24,16,10000,I can make some arrows with these.
1357,Adamant axe,False,1280,768,512,40,A powerful axe.
1371,Adamant battleaxe,False,4160,2496,1664,125,A vicious looking axe.
9143,Adamant bolts,True,58,34,23,11000,Adamantite crossbow bolts.
9290,Adamant bolts (p),True,58,34,23,11000,Some poisoned adamantite bolts.
9297,Adamant bolts (p+),True,58,34,23,11000,Some poisoned adamantite bolts.
9304,Adamant bolts (p++),True,58,34,23,11000,Super poisoned adamantite bolts.
9380,Adamant bolts(unf),True,1,1,1,13000,Unfeathered adamantite crossbow bolts.
4129,Adamant boots,True,1920,1152,768,125,These will protect my feet.
4798,Adamant brutal,True,95,57,38,11000,Blunt adamantite arrow... ouch.
12377,Adamant cane,True,1440,864,576,4,A diamond topped cane.
31912,Adamant cannonball,True,180,108,72,11000,Ammo suited for a boat's cannon.
1111,Adamant chainbody,False,4800,2880,1920,125,A series of connected metal rings.
3100,Adamant claws,True,1200,720,480,125,A set of fighting claws.
9183,Adamant crossbow,True,1767,1060,706,70,An adamantite crossbow.
9463,Adamant crossbow (u),True,1733,1039,693,10000,An unstrung adamantite crossbow.
1211,Adamant dagger,False,800,480,320,125,Short and deadly.
1227,Adamant dagger(p),True,800,480,320,125,A very dangerous poisoned dagger.
5676,Adamant dagger(p+),True,800,480,320,125,A very dangerous poisoned dagger.
5694,Adamant dagger(p++),True,800,480,320,125,A very dangerous poisoned dagger.
810,Adamant dart,True,65,39,26,11000,A deadly throwing dart with an adamant tip.
823,Adamant dart tip,True,36,21,14,20000,A deadly-looking dart tip made of adamant - needs feathers for flight.
816,Adamant dart(p),True,65,39,26,11000,A deadly poisoned dart with an adamant tip.
5633,Adamant dart(p+),True,65,39,26,11000,A deadly poisoned dart with an adamant tip.
5640,Adamant dart(p++),True,65,39,26,11000,A deadly poisoned dart with an adamant tip.
23270,Adamant dragon mask,True,10000,6000,4000,4,Do I look scary?
28211,Adamant felling axe,True,1280,768,512,,A woodcutter's axe.
1161,Adamant full helm,False,3520,2112,1408,125,A full face helmet.
2613,Adamant full helm (g),False,3520,2112,1408,8,Adamant full helmet with gold trim.
2605,Adamant full helm (t),False,3520,2112,1408,8,Adamant full helmet with trim.
13020,Adamant gold-trimmed set (lg),False,8000,4800,3200,8,"A set containing a full helm, platebody, legs and kiteshield."
13022,Adamant gold-trimmed set (sk),False,8000,4800,3200,8,"A set containing a full helm, platebody, skirt and kiteshield."
3200,Adamant halberd,True,6400,3840,2560,125,An adamant halberd.
11375,Adamant hasta,True,2080,1248,832,125,"An adamant-tipped, one-handed hasta."
11407,Adamant hasta(p),True,2080,1248,832,125,"A poison-tipped, one-handed adamantite hasta."
11410,Adamant hasta(p+),True,2080,1248,832,125,"A poison-tipped, one-handed adamantite hasta."
11412,Adamant hasta(p++),True,2080,1248,832,125,"A poison-tipped, one-handed adamantite hasta."
10296,Adamant helm (h1),False,3520,2112,1408,70,An adamant helmet with a heraldic design.
10298,Adamant helm (h2),False,3520,2112,1408,70,An adamant helmet with a heraldic design.
10300,Adamant helm (h3),False,3520,2112,1408,70,An adamant helmet with a heraldic design.
10302,Adamant helm (h4),False,3520,2112,1408,70,An adamant helmet with a heraldic design.
10304,Adamant helm (h5),False,3520,2112,1408,70,An adamant helmet with a heraldic design.
829,Adamant javelin,True,160,96,64,11000,An adamant tipped javelin.
19578,Adamant javelin tips,True,440,264,176,10000,Needs a shaft.
835,Adamant javelin(p),True,160,96,64,11000,An adamant tipped javelin.
5646,Adamant javelin(p+),True,160,96,64,11000,An adamant tipped javelin.
5652,Adamant javelin(p++),True,160,96,64,11000,An adamant tipped javelin.
32011,Adamant keel parts,True,3125,1875,1250,100,Parts for creating an adamant keel for a boat.
1199,Adamant kiteshield,False,5440,3264,2176,125,A large metal shield.
2611,Adamant kiteshield (g),False,5440,3264,2176,8,Adamant kiteshield with gold trim.
2603,Adamant kiteshield (t),False,5440,3264,2176,8,Adamant kiteshield with trim.
867,Adamant knife,True,66,39,26,11000,A finely balanced throwing knife.
875,Adamant knife(p),True,66,39,26,11000,A finely balanced throwing knife.
5659,Adamant knife(p+),True,66,39,26,7000,A finely balanced throwing knife.
5666,Adamant knife(p++),True,66,39,26,7000,A finely balanced throwing knife.
1301,Adamant longsword,False,3200,1920,1280,125,A razor sharp longsword.
1430,Adamant mace,False,1440,864,576,125,A spiky mace.
1145,Adamant med helm,False,1920,1152,768,125,A medium sized helmet.
1271,Adamant pickaxe,False,3200,1920,1280,40,Used for mining.
1123,Adamant platebody,False,16640,9984,6656,125,Provides excellent protection.
2607,Adamant platebody (g),False,16640,9984,6656,8,Adamant platebody with gold trim.
23392,Adamant platebody (h1),False,16640,9984,6656,8,Adamant platebody with a heraldic design.
23395,Adamant platebody (h2),False,16640,9984,6656,8,Adamant platebody with a heraldic design.
23398,Adamant platebody (h3),False,16640,9984,6656,8,Adamant platebody with a heraldic design.
23401,Adamant platebody (h4),False,16640,9984,6656,8,Adamant platebody with a heraldic design.
23404,Adamant platebody (h5),False,16640,9984,6656,8,Adamant platebody with a heraldic design.
2599,Adamant platebody (t),False,16640,9984,6656,8,Adamant platebody with trim.
1073,Adamant platelegs,False,6400,3840,2560,125,These look pretty heavy.
2609,Adamant platelegs (g),False,6400,3840,2560,8,Adamant platelegs with gold trim.
2601,Adamant platelegs (t),False,6400,3840,2560,8,Adamant platelegs with trim.
1091,Adamant plateskirt,False,6400,3840,2560,125,Designer leg protection.
3475,Adamant plateskirt (g),False,6400,3840,2560,8,Adamant plateskirt with gold trim.
3474,Adamant plateskirt (t),False,6400,3840,2560,8,Adamant plateskirt with trim.
1331,Adamant scimitar,False,2560,1536,1024,125,"A vicious, curved sword."
29458,Adamant seeds,True,300,180,120,18000,Magical seeds in an adamant case.
